case_key,earliest_file,latest_file,earliest_count,latest_count,delta,sample_latest
2023-684825,2023-684825_20251116_203624.json,2023-684825_20260101_124249.json,0,5,5,"2903.11.A(2) | 2903.11.A(2) | 2903.11.A(1) | 2923.162.A(3) | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-681524,2023-681524_20251110_040515.json,2023-681524_20251110_155520.json,0,3,3,
2023-682552,2023-682552_20251117_151523.json,2023-682552_20251117_151523.json,4,4,0,"2903.13.A | 2903.13.A | 2921.31.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685788,2023-685788_20251118_195904.json,2023-685788_20251118_195904.json,5,5,0,"2923.13.A(2) | 2923.121.A | 2923.12.A(2) | 2923.162.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678506,2023-678506_20251116_181818.json,2023-678506_20251116_181818.json,3,3,0,"2903.11.A(1) | 2909.04.A(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698838,2025-698838_20251120_082909.json,2025-698838_20251120_082909.json,3,3,0,"2925.11.A | 2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-690297,2024-690297_20251119_094401.json,2024-690297_20251119_094401.json,7,7,0,2903.11.A(1) | 2903.11.A(2) | 2923.13.A(2) | 2923.12.A(2) | 2903.21.A
2024-697578,2024-697578_20251120_042902.json,2024-697578_20251120_042902.json,11,11,0,2903.11.A(1) | 2903.11.A(2) | 2903.11.A(2) | 2903.11.A(2) | 2923.162.A(3)
2024-697579,2024-697579_20251120_042945.json,2024-697579_20251120_042945.json,7,7,0,2923.13.A(1) | 2923.13.A(2) | 2923.12.A(2) | 2923.16.B | 2921.31.A
2024-690864,2024-690864_20251119_111307.json,2024-690864_20251119_111307.json,5,5,0,"2903.211.A(1) | 2903.211.A(1) | 2919.27.A(1) | 2919.27.A(1) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-688175,2024-688175_20251119_032006.json,2024-688175_20251119_032006.json,4,4,0,"2917.31.A(1) | 2917.31.A(2) | 2917.31.A(3) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678807,2023-678807_20251116_204827.json,2023-678807_20251116_204827.json,5,5,0,"2911.12.A(1) | 2903.11.A(2) | 2919.25.A | 2919.27.A(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677629,2023-677629_20251116_105254.json,2023-677629_20251116_105254.json,6,6,0,"2925.11.A | 2903.13.A | 2903.21.A | 2903.21.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698673,2025-698673_20251120_075611.json,2025-698673_20251120_075611.json,2,2,0,"2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692729,2024-692729_20251119_153919.json,2024-692729_20251119_153919.json,6,6,0,2903.18.(B)(2) | 2903.18.(B)(3) | 2919.25.A | 2923.162.A(3) | 2923.13.A(2)
2023-679181,2023-679181_20251110_132517.json,2023-679181_20251110_132517.json,8,8,0,
2023-680323,2023-680323_20251117_092729.json,2023-680323_20251117_092729.json,9,9,0,2911.02.A(3) | 2911.02.A(2) | 2921.331.B | 2921.331.B | 2913.02.A(1)
2024-690055,2024-690055_20251119_084718.json,2024-690055_20251119_084718.json,9,9,0,2903.02.A | 2903.11.A(1) | 2903.18.(B)(2) | 2903.18.(B)(3) | 2905.02.A(1)
2025-700253,2025-700253_20251120_134446.json,2025-700253_20251120_134446.json,7,7,0,2921.03.A | 2909.05.B(1)(B) | 2921.38.B | 2921.38.B | 2903.21.A
2024-697611,2024-697611_20251120_044027.json,2024-697611_20251120_044027.json,2,2,0,"2913.02.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-690366,2024-690366_20251119_095534.json,2024-690366_20251119_095534.json,5,5,0,"2923.13.A(3) | 2923.12.(A)(2) | 2923.16.B | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-688174,2024-688174_20251119_032115.json,2024-688174_20251119_032115.json,2,2,0,"2909.05.B(2) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695723,2024-695723_20251119_233007.json,2024-695723_20251119_233007.json,9,9,0,2903.11.A(1) | 2903.11.A(2) | 2903.11.A(2) | 2903.11.A(2) | 2923.162.(A)(3)
2023-687137,2023-687137_20251119_000240.json,2023-687137_20251119_000240.json,3,3,0,"2913.02.A(1) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-700699,2025-700699_20251120_153346.json,2025-700699_20251120_153346.json,4,4,0,"2903.11.A(1) | 2903.11.A(2) | 2903.13.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698278,2025-698278_20251120_062303.json,2025-698278_20251120_062303.json,5,5,0,"2911.11.A(1) | 2905.02.A(2) | 2903.13.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677951,2023-677951_20251116_135356.json,2023-677951_20251116_135356.json,2,2,0,"2911.02.A(3) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677805,2023-677805_20251116_123138.json,2023-677805_20251116_123138.json,2,2,0,"2919.25.D(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-689109,2024-689109_20251119_062523.json,2024-689109_20251119_062523.json,6,6,0,2907.02.A(2) | 2903.11.A(1) | 2903.18.(B)(3) | 2905.01.A(3) | 2905.02.A(2)
2024-690615,2024-690615_20251119_104056.json,2024-690615_20251119_104056.json,2,2,0,"2950.06.F | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685421,2023-685421_20251118_184452.json,2023-685421_20251118_184452.json,2,2,0,"2950.05.F(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678081,2023-678081_20251116_151422.json,2023-678081_20251116_151422.json,9,9,0,2905.02.A(2) | 2919.25.A | 2903.21.A | 2905.02.A(2) | 2903.13.A
2023-677883,2023-677883_20251116_131804.json,2023-677883_20251116_131804.json,4,4,0,"2903.11.A(2) | 2903.11.A(2) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695897,2024-695897_20251120_000026.json,2024-695897_20251120_000026.json,10,10,0,2907.323.A(1) | 2907.323.A(1) | 2907.322.A(5) | 2907.322.A(5) | 2907.322.A(5)
2023-681712,2023-681712_20251111_062649.json,2023-681712_20251111_062649.json,3,3,0,
2023-686514,2023-686514_20251118_220615.json,2023-686514_20251118_220615.json,7,7,0,2905.02.A(2) | 2907.02.A(2) | 2903.18.(B)(1) | 2903.18.(B)(3) | 2919.25.A
2023-683737,2023-683737_20251118_140651.json,2023-683737_20251118_140651.json,3,3,0,"2921.331.B | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692365,2024-692365_20251119_144839.json,2024-692365_20251119_144839.json,3,3,0,"2909.05.B(1)(A) | 2909.04.A(2) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
